300;300;0.2;0.8;15;had12.txt
1742;1883;2024
1716;1851;2000
1706;1837;1980
1696;1829;1986
1684;1822;1982
1684;1813;1972
1666;1812;1984
1680;1805;1954
1684;1807;1980
1666;1801;1962
1666;1794;1966
1680;1803;1974
1680;1805;2014
1680;1799;2018
1674;1799;1954
1674;1796;2002
1678;1800;1976
1674;1796;1964
1678;1801;1980
1670;1800;1980
1664;1797;1974
1664;1794;1982
1662;1797;1982
1662;1796;1974
1664;1803;2000
1662;1801;1974
1662;1802;1964
1662;1794;2000
1662;1793;1962
1662;1794;2006
1654;1789;1942
1654;1792;1968
1654;1787;1956
1654;1790;1944
1662;1787;1968
1654;1798;1970
1654;1794;1970
1654;1793;1966
1654;1788;1976
1654;1786;1956
1662;1787;1970
1654;1779;1950
1654;1776;1952
1662;1771;1984
1662;1777;2018
1662;1777;1932
1662;1781;1984
1662;1774;1974
1662;1780;1984
1662;1788;1968
1662;1780;1956
1662;1786;1984
1662;1782;1988
1662;1789;1988
1662;1792;2002
1662;1789;1962
1662;1785;1976
1662;1782;2020
1662;1779;1992
1662;1780;1938
1656;1791;1992
1656;1781;2014
1656;1786;1960
1656;1786;1980
1656;1788;1984
1662;1788;1990
1662;1782;1948
1662;1786;2008
1662;1786;2000
1662;1787;2006
1662;1798;1968
1662;1786;1956
1662;1784;1940
1662;1781;2004
1662;1776;1958
1662;1785;1966
1662;1786;1978
1662;1786;1988
1662;1787;1960
1656;1794;2014
1662;1796;2010
1662;1787;2006
1662;1789;2018
1662;1780;1942
1654;1788;1964
1662;1780;2002
1662;1789;1998
1662;1785;1970
1662;1783;1976
1662;1792;1952
1662;1776;1980
1662;1774;1962
1662;1770;1988
1662;1779;1982
1662;1781;1956
1662;1780;1950
1662;1779;2018
1662;1774;1968
1662;1786;1994
1662;1789;1934
1656;1786;1986
1662;1776;1966
1662;1779;1992
1662;1775;2004
1662;1774;1928
1662;1776;1990
1662;1785;1978
1662;1778;1992
1662;1778;2016
1662;1774;1966
1662;1784;1952
1662;1772;1998
1662;1776;1968
1662;1779;1948
1662;1778;1964
1662;1773;1954
1662;1783;2000
1662;1787;1962
1654;1787;1960
1656;1785;1976
1662;1778;1968
1662;1778;1966
1656;1788;1968
1656;1781;1974
1656;1782;1970
1656;1782;1966
1656;1785;1988
1656;1777;1950
1656;1784;1982
1656;1783;1958
1656;1790;2000
1656;1793;1968
1656;1793;1986
1656;1783;1952
1656;1781;1972
1656;1781;2010
1656;1777;1964
1656;1780;2006
1656;1787;1966
1656;1786;1972
1656;1786;2004
1656;1787;1974
1656;1789;1974
1656;1795;1998
1656;1789;2008
1656;1778;1966
1656;1794;1994
1656;1787;1990
1656;1786;1984
1656;1788;1962
1656;1790;1956
1656;1788;1960
1656;1780;1966
1656;1780;1960
1656;1784;1954
1656;1783;1974
1656;1782;1982
1656;1785;1950
1656;1782;1970
1656;1776;1980
1656;1780;1986
1656;1771;1972
1656;1778;1994
1656;1783;1958
1656;1790;2002
1656;1788;1978
1656;1777;1954
1656;1785;1946
1656;1778;1982
1656;1777;1968
1656;1774;1988
1656;1772;1956
1656;1768;1976
1656;1771;1968
1656;1764;1968
1656;1774;1984
1656;1777;1976
1656;1777;1960
1654;1784;1990
1656;1784;1958
1656;1777;1968
1656;1774;1962
1656;1778;1964
1656;1784;1996
1656;1779;1956
1656;1781;1974
1656;1780;1946
1656;1777;1964
1652;1781;2020
1652;1780;1974
1656;1775;1970
1656;1782;1978
1652;1767;1980
1656;1780;1970
1656;1772;1972
1656;1775;1954
1656;1775;1972
1656;1774;1974
1654;1781;1946
1656;1778;1952
1656;1771;1958
1656;1770;1972
1656;1776;1978
1656;1768;1924
1656;1769;1962
1656;1780;1966
1656;1784;1968
1656;1770;2010
1656;1766;1982
1656;1771;1964
1656;1770;1970
1656;1776;1984
1656;1763;1980
1656;1773;1956
1656;1772;1950
1656;1772;1972
1656;1776;1936
1656;1777;1950
1656;1772;1984
1656;1775;1964
1656;1777;1962
1656;1783;1992
1656;1783;1994
1656;1770;1980
1656;1771;1956
1656;1779;1954
1656;1776;1974
1656;1772;1948
1656;1773;1954
1656;1772;1980
1656;1773;1996
1656;1772;1946
1652;1770;1988
1652;1777;1958
1656;1779;1958
1652;1771;1976
1654;1775;1952
1652;1784;1950
1652;1790;1998
1656;1778;1962
1656;1773;1980
1656;1777;1944
1656;1768;1996
1656;1780;1982
1652;1768;1956
1652;1773;1966
1656;1774;1926
1656;1776;1998
1656;1774;1924
1656;1772;1950
1656;1782;1984
1656;1779;1986
1656;1768;1986
1656;1773;1976
1656;1769;1998
1656;1777;1976
1656;1772;1962
1656;1768;1980
1656;1782;1984
1656;1772;1926
1656;1777;1970
1656;1772;1972
1656;1776;1972
1656;1778;1942
1656;1776;1952
1656;1771;1982
1656;1772;1978
1656;1776;1982
1656;1767;2030
1656;1779;1988
1656;1785;1942
1656;1777;1968
1656;1783;1988
1656;1789;1968
1656;1780;1962
1656;1775;1972
1656;1770;1948
1656;1779;1980
1656;1776;1990
1656;1768;1934
1656;1773;1950
1656;1778;1960
1656;1781;1984
1656;1783;1992
1656;1778;1978
1656;1771;1956
1656;1772;1986
1656;1771;1944
1656;1783;2008
1656;1778;1990
1656;1775;1950
1656;1776;1940
1656;1783;1958
1656;1784;1962
1656;1774;2008
1656;1777;2010
1656;1771;1934
1656;1769;1960
1656;1774;1982
1656;1776;1976
