100;100;0.06;0.75;4;had12.txt
1776;1890;2004
1762;1864;1978
1710;1851;1980
1710;1832;1956
1728;1823;1968
1724;1816;1960
1724;1799;1924
1706;1795;1974
1704;1786;1922
1688;1779;1920
1682;1779;1932
1682;1772;1896
1678;1768;1924
1672;1755;1922
1682;1758;1934
1682;1744;1936
1680;1742;1906
1674;1729;1940
1674;1730;1868
1660;1734;1940
1672;1736;1924
1660;1725;1888
1660;1723;1900
1660;1711;1908
1660;1714;1882
1652;1723;1914
1652;1717;1892
1652;1713;1884
1652;1720;1920
1652;1710;1918
1652;1700;1886
1652;1697;1872
1652;1701;1920
1652;1696;1890
1652;1704;1880
1652;1701;1936
1652;1691;1896
1652;1697;1874
1652;1700;1880
1652;1690;1892
1652;1687;1880
1652;1686;1842
1652;1687;1828
1652;1691;1880
1652;1687;1870
1652;1695;1916
1652;1699;1836
1652;1711;1932
1652;1692;1896
1652;1681;1860
1652;1695;1912
1652;1689;1874
1652;1685;1918
1652;1689;1862
1652;1708;1880
1652;1703;1894
1652;1699;1860
1652;1706;1912
1652;1712;1902
1652;1696;1882
1652;1692;1880
1652;1693;1926
1652;1701;1900
1652;1694;1884
1652;1696;1852
1652;1693;1874
1652;1701;1904
1652;1695;1870
1652;1688;1876
1652;1687;1836
1652;1696;1916
1652;1696;1848
1652;1706;1910
1652;1702;1890
1652;1704;1936
1652;1711;1880
1652;1697;1868
1652;1698;1894
1652;1687;1876
1652;1705;1880
1652;1700;1996
1652;1705;1898
1652;1691;1870
1652;1697;1910
1652;1692;1934
1652;1688;1858
1652;1698;1868
1652;1694;1932
1652;1696;1930
1652;1692;1872
1652;1698;1936
1652;1694;1890
1652;1699;1930
1652;1696;1906
1652;1705;1874
1652;1685;1882
1652;1703;1880
1652;1691;1904
1652;1694;1880
1652;1696;1900
