300;200;0.05;0.8;10;had12.txt
1762;1889;2016
1736;1838;1982
1722;1812;1996
1706;1800;1942
1684;1770;1950
1684;1763;1936
1678;1759;1946
1670;1742;1920
1670;1746;1952
1662;1730;1914
1660;1722;1952
1660;1714;1932
1660;1714;1940
1660;1703;1882
1656;1691;1910
1656;1695;1888
1656;1693;1884
1652;1692;1920
1652;1693;1870
1652;1685;1896
1652;1686;1890
1652;1699;1910
1652;1694;1994
1652;1685;1880
1652;1683;1890
1652;1686;1926
1652;1685;1912
1652;1682;1924
1652;1688;1898
1652;1683;1864
1652;1679;1864
1652;1690;1898
1652;1683;1864
1652;1683;1876
1652;1689;1870
1652;1687;1936
1652;1686;1864
1652;1690;1898
1652;1688;1904
1652;1680;1846
1652;1685;1912
1652;1689;1936
1652;1688;1908
1652;1684;1872
1652;1691;1864
1652;1684;1890
1652;1688;1920
1652;1691;1940
1652;1686;1918
1652;1685;1922
1652;1680;1886
1652;1686;1946
1652;1683;1880
1652;1684;1902
1652;1690;1904
1652;1686;1880
1652;1687;1882
1652;1688;1880
1652;1689;1894
1652;1686;1880
1652;1683;1880
1652;1688;1918
1652;1688;1880
1652;1686;1890
1652;1687;1912
1652;1684;1902
1652;1684;1900
1652;1682;1896
1652;1685;1966
1652;1690;1892
1652;1689;1924
1652;1692;1942
1652;1687;1930
1652;1688;1894
1652;1687;1918
1652;1685;1864
1652;1684;1924
1652;1689;1904
1652;1680;1864
1652;1682;1918
1652;1687;1920
1652;1689;1884
1652;1687;1886
1652;1687;1898
1652;1685;1898
1652;1686;1860
1652;1685;1948
1652;1681;1880
1652;1683;1918
1652;1687;1896
1652;1688;1882
1652;1692;1906
1652;1686;1884
1652;1690;1916
1652;1688;1882
1652;1686;1940
1652;1684;1948
1652;1687;1890
1652;1681;1880
1652;1683;1856
1652;1682;1900
1652;1689;1912
1652;1688;1890
1652;1686;1906
1652;1690;1908
1652;1694;1908
1652;1686;1898
1652;1685;1934
1652;1684;1896
1652;1688;1904
1652;1687;1896
1652;1687;1880
1652;1688;1904
1652;1689;1918
1652;1681;1870
1652;1685;1916
1652;1690;1884
1652;1692;1880
1652;1686;1880
1652;1681;1910
1652;1686;1892
1652;1686;1880
1652;1683;1922
1652;1686;1880
1652;1688;1964
1652;1689;1936
1652;1684;1918
1652;1690;1892
1652;1685;1880
1652;1686;1920
1652;1687;1896
1652;1688;1896
1652;1683;1866
1652;1684;1874
1652;1688;1884
1652;1688;1922
1652;1690;1876
1652;1684;1914
1652;1686;1900
1652;1686;1848
1652;1690;1884
1652;1686;1942
1652;1684;1920
1652;1687;1870
1652;1684;1902
1652;1684;1902
1652;1687;1912
1652;1688;1896
1652;1686;1876
1652;1679;1892
1652;1689;1880
1652;1685;1954
1652;1687;1880
1652;1685;1860
1652;1685;1880
1652;1686;1924
1652;1680;1894
1652;1686;1916
1652;1688;1918
1652;1688;1886
1652;1680;1848
1652;1691;1880
1652;1684;1886
1652;1686;1838
1652;1682;1864
1652;1684;1912
1652;1682;1870
1652;1688;1876
1652;1684;1944
1652;1684;1880
1652;1682;1920
1652;1686;1874
1652;1684;1934
1652;1683;1964
1652;1683;1914
1652;1679;1916
1652;1680;1880
1652;1685;1874
1652;1686;1882
1652;1689;1896
1652;1681;1852
1652;1683;1924
1652;1688;1914
1652;1688;1918
1652;1687;1928
1652;1683;1870
1652;1692;1920
1652;1683;1850
1652;1685;1880
1652;1686;1858
1652;1684;1920
1652;1684;1868
1652;1682;1868
1652;1688;1880
1652;1689;1890
1652;1688;1864
1652;1688;1914
1652;1687;1948
1652;1682;1878
1652;1686;1892
